[2025-03-21T23:37:02.922Z] debug: 	createStaticLootItem() No preset found for weapon: 620109578d82e67e7911abf2
[2025-03-21T23:37:02.923Z] debug: 	Group: supplyBoxFood_N1_2_custom has no containers with < 100% spawn chance to choose from, skipping
[2025-03-21T23:37:02.923Z] debug: 	Group: supplyBoxTools_N4_2_custom has no containers with < 100% spawn chance to choose from, skipping
[2025-03-21T23:37:02.928Z] debug: 	Group: supplyBoxMedicine_N2_2_custom has no containers with < 100% spawn chance to choose from, skipping
[2025-03-21T23:37:02.928Z] debug: 	Group: PlasticSuitcase_N25_2_custom has no containers with < 100% spawn chance to choose from, skipping
[2025-03-21T23:37:02.930Z] debug: 	Group: supplyBoxTools_N3_2_custom has no containers with < 100% spawn chance to choose from, skipping
[2025-03-21T23:37:02.935Z] succ: 	A total of 1010 static items spawned
[2025-03-21T23:37:02.935Z] succ: 	Сгенерировано 305 статических контейнеров
[2025-03-21T23:37:03.032Z] debug: 	Attempted to add a forced loot location with Id: kontr_crate1 [710da39d-ab22-440a-8f84-ffbffa25ad62] to map bigmap that already has that id in use, skipping
[2025-03-21T23:37:03.032Z] debug: 	Attempted to add a forced loot location with Id: kontr_crate1 [710da39d-ab22-440a-8f84-ffbffa25ad62] to map bigmap that already has that id in use, skipping
[2025-03-21T23:37:03.033Z] debug: 	Attempted to add a forced loot location with Id: kontr_crate2 [d9cbb4a8-d738-431e-8155-1cf9e8ee48e3] to map bigmap that already has that id in use, skipping
[2025-03-21T23:37:03.033Z] debug: 	Attempted to add a forced loot location with Id: kontr_crate2 [d9cbb4a8-d738-431e-8155-1cf9e8ee48e3] to map bigmap that already has that id in use, skipping
[2025-03-21T23:37:03.033Z] debug: 	Attempted to add a forced loot location with Id: kontr_crate3 [e67fe357-9ef4-4ae0-8934-6f8b0113bc04] to map bigmap that already has that id in use, skipping
[2025-03-21T23:37:03.033Z] debug: 	Attempted to add a forced loot location with Id: kontr_crate3 [e67fe357-9ef4-4ae0-8934-6f8b0113bc04] to map bigmap that already has that id in use, skipping
[2025-03-21T23:37:03.188Z] succ: 	Заспавнено 196 динамических предметов лута
[2025-03-21T23:37:03.189Z] succ: 	Локация bigmap сгенерирована
[2025-03-21T23:37:03.240Z] info: 	[Запрос Клиента] /client/raid/configuration
[2025-03-21T23:37:03.289Z] info: 	[Запрос Клиента] /fika/update/ping
[2025-03-21T23:37:03.334Z] info: 	[Запрос Клиента] /fika/update/sethost
[2025-03-21T23:37:03.337Z] info: 	[Запрос Клиента] /fika/update/setstatus
[2025-03-21T23:37:03.437Z] info: 	[Запрос Клиента] /client/match/group/exit_from_menu
[2025-03-21T23:37:04.849Z] debug: 	Saved 2 profiles, took: 11.49ms
[2025-03-21T23:37:24.383Z] info: 	[Запрос Клиента] /client/getMetricsConfig
[2025-03-21T23:37:24.476Z] info: 	[Запрос Клиента] /singleplayer/settings/getRaidTime
[2025-03-21T23:37:24.506Z] info: 	[Запрос Клиента] /client/raid/configuration
[2025-03-21T23:37:24.555Z] info: 	[Запрос Клиента] /client/match/local/start
[2025-03-21T23:37:24.859Z] debug: 	Saved 2 profiles, took: 5.41ms
[2025-03-21T23:37:25.317Z] info: 	[Запрос Клиента] /fika/update/playerspawn
[2025-03-21T23:37:40.140Z] info: 	[Запрос Клиента] /fika/update/ping
